millis,x_1,y_1,z_1,x_2,y_2,z_2
126274,8.21,-2.23,5.67,2.81,-9.14,2.58
126299,8.25,-2.25,5.35,2.76,-9.21,2.79
126350,8.17,-2.24,5.77,2.71,-9.32,2.87
126374,8.24,-2.27,5.85,2.79,-9.20,2.72
126425,8.19,-2.21,5.77,2.72,-9.19,2.63
126448,8.12,-2.25,5.65,2.71,-9.26,2.85
126499,8.13,-2.30,5.44,2.59,-9.17,3.00
126523,8.08,-2.27,5.94,2.57,-9.23,3.00
126550,8.25,-2.30,5.71,2.73,-9.25,2.79
126599,8.16,-2.22,5.70,2.72,-9.28,3.05
126624,8.16,-2.29,5.79,2.57,-9.19,2.90
126674,8.17,-2.35,5.97,2.57,-9.24,2.84
126699,8.24,-2.23,5.67,2.48,-9.38,2.72
126749,8.18,-2.16,5.72,2.60,-9.20,2.93
126774,8.21,-2.34,5.83,2.54,-9.18,2.81
126825,8.14,-2.31,5.77,2.72,-9.23,2.54
126850,8.22,-2.28,5.79,2.65,-9.15,2.60
126900,8.06,-2.22,5.72,2.70,-9.19,2.90
126923,8.16,-2.35,5.75,2.79,-9.24,2.60
126949,8.11,-2.24,5.81,2.70,-9.26,2.72
126999,8.27,-2.22,5.83,2.69,-9.26,3.02
127024,8.21,-2.31,5.92,2.66,-9.26,2.96
127075,8.22,-2.29,5.64,2.69,-9.27,2.74
127099,8.14,-2.34,5.87,2.70,-9.19,2.76
127150,8.18,-2.34,5.67,2.57,-9.27,2.96
127174,8.15,-2.18,5.75,2.72,-9.28,2.99
127224,8.03,-2.34,5.81,2.68,-9.22,2.76
127248,8.19,-2.28,5.54,2.69,-9.28,2.67
127299,8.22,-2.26,5.87,2.75,-9.26,2.94
127325,8.14,-2.18,5.84,2.61,-9.16,2.88
127349,8.17,-2.28,5.76,2.81,-9.23,2.79
127399,8.25,-2.35,5.68,2.67,-9.25,2.92
127424,8.13,-2.26,5.93,2.68,-9.16,2.91
127474,8.17,-2.26,5.64,2.50,-9.12,3.14
127499,8.15,-2.28,5.79,2.70,-9.20,2.61
127549,8.17,-2.32,5.83,2.63,-9.19,2.67
127574,8.24,-2.24,5.55,2.56,-9.15,2.83
127625,8.17,-2.32,5.71,2.61,-9.23,2.71
127648,8.23,-2.26,5.88,2.57,-9.27,2.52
127699,8.12,-2.33,5.79,2.79,-9.15,2.74
127724,8.12,-2.26,5.60,2.75,-9.24,2.55
127774,8.04,-2.18,5.78,2.74,-9.24,2.62
127799,8.21,-2.30,5.93,2.79,-9.28,2.74
127824,8.21,-2.34,5.79,2.73,-9.19,2.77
127875,8.06,-2.18,5.63,2.69,-9.24,2.72
127899,8.20,-2.26,5.52,2.54,-9.25,2.90
127949,8.18,-2.16,5.64,2.68,-9.16,2.87
127973,8.03,-2.28,5.78,2.65,-9.18,2.79
128024,8.17,-2.32,5.94,2.67,-9.21,2.73
128049,8.25,-2.22,5.78,2.56,-9.17,2.74
128100,8.18,-2.28,5.71,2.69,-9.20,2.75
128124,8.19,-2.27,5.71,2.53,-9.19,2.76
128175,8.16,-2.28,5.85,2.72,-9.24,2.86
128199,8.24,-2.23,5.47,2.71,-9.25,2.53
128224,8.20,-2.23,5.81,2.68,-9.20,2.83
128274,8.11,-2.33,5.74,2.48,-9.16,2.53
128300,8.16,-2.21,5.71,2.71,-9.21,2.72
128350,8.04,-2.31,5.74,2.79,-9.27,2.63
128373,8.21,-2.30,5.72,2.54,-9.25,2.89
128424,8.25,-2.30,5.60,2.77,-9.25,2.63
128449,8.25,-2.23,5.53,2.53,-9.20,2.81
128499,8.08,-2.27,5.80,2.58,-9.22,2.48
128524,8.26,-2.25,5.77,2.62,-9.23,2.60
128575,8.16,-2.21,5.66,2.75,-9.30,2.92
128600,8.10,-2.30,5.74,2.55,-9.27,3.03
128624,8.21,-2.30,5.64,2.63,-9.28,2.78
128674,8.24,-2.18,5.76,2.75,-9.24,2.68
128699,8.05,-2.32,5.82,2.67,-9.22,2.78
128749,8.27,-2.25,5.62,2.57,-9.27,2.87
128774,8.16,-2.22,5.58,2.69,-9.27,2.87
128825,8.12,-2.30,5.63,2.60,-9.30,3.10
128849,8.14,-2.27,5.52,2.76,-9.19,2.83
128900,8.16,-2.28,5.68,2.74,-9.24,2.95
128923,8.17,-2.28,5.77,2.71,-9.14,2.86
128974,8.15,-2.27,6.11,2.66,-9.32,2.81
128999,8.14,-2.29,5.60,2.59,-9.24,2.70
129024,8.15,-2.26,5.65,2.70,-9.29,2.59
129075,8.16,-2.30,5.85,2.58,-9.20,2.77
129099,8.21,-2.36,5.51,2.78,-9.24,2.55
129149,8.10,-2.28,5.64,2.75,-9.15,2.82
129174,8.26,-2.25,5.86,2.50,-9.33,2.82
129224,8.10,-2.22,5.83,2.62,-9.14,2.70
129249,8.17,-2.29,5.39,2.63,-9.31,3.00
129300,8.16,-2.18,5.76,2.52,-9.25,2.77
129325,8.19,-2.26,5.69,2.75,-9.23,2.74
129375,8.11,-2.29,5.77,2.65,-9.26,2.77
129399,8.16,-2.28,5.81,2.70,-9.21,2.70
129424,8.10,-2.22,5.46,2.52,-9.24,2.50
129474,8.11,-2.28,5.75,2.69,-9.14,2.74
129500,8.23,-2.27,5.64,2.56,-9.19,2.84
129550,8.10,-2.23,5.87,2.59,-9.26,2.92
129574,8.23,-2.26,5.65,2.59,-9.21,2.76
129625,8.18,-2.21,5.75,2.68,-9.26,2.90
129649,8.16,-2.27,5.92,2.51,-9.20,2.74
129699,8.10,-2.29,6.03,2.60,-9.11,2.86
129724,8.10,-2.41,6.08,2.70,-9.30,2.94
129774,8.25,-2.21,5.50,2.56,-9.19,2.82
129800,8.19,-2.27,5.89,2.76,-9.22,2.66
129824,8.15,-2.26,5.97,2.57,-9.11,2.95
129874,8.14,-2.20,5.68,2.60,-9.30,3.00
129899,8.21,-2.24,5.77,2.47,-9.25,3.09
129949,8.21,-2.29,5.73,2.72,-9.17,3.03
129974,8.15,-2.30,5.72,2.68,-9.11,2.97
130024,8.25,-2.18,5.81,2.69,-9.27,2.48
130050,8.10,-2.35,5.73,2.52,-9.26,2.94
130100,8.20,-2.27,5.68,2.64,-9.22,2.84
130124,8.12,-2.27,5.87,2.75,-9.31,2.71
130174,8.09,-2.32,5.73,2.75,-9.16,2.69
130199,8.19,-2.33,5.82,2.69,-9.19,2.78
130249,8.17,-2.24,5.55,2.76,-9.30,2.61
130274,8.12,-2.28,5.79,2.77,-9.23,2.75
130299,8.27,-2.33,5.47,2.59,-9.22,2.93
130350,8.09,-2.30,5.72,2.72,-9.33,2.79
130374,8.11,-2.29,5.48,2.66,-9.16,2.62
130424,8.20,-2.29,5.94,2.60,-9.24,2.74
130449,8.05,-2.20,5.57,2.74,-9.33,2.60
130499,8.06,-2.28,5.80,2.66,-9.26,2.87
130525,8.29,-2.27,5.79,2.74,-9.11,2.72
130575,8.19,-2.19,5.66,2.51,-9.17,2.95
130599,8.28,-2.28,5.83,2.66,-9.26,2.59
130650,8.07,-2.28,5.64,2.70,-9.28,2.88
130674,8.12,-2.30,5.83,2.70,-9.22,2.44
130699,8.16,-2.31,5.76,2.66,-9.27,3.13
130749,8.02,-2.25,5.57,2.65,-9.28,2.79
130775,8.20,-2.26,5.64,2.66,-9.27,2.82
130825,8.13,-2.28,5.89,2.65,-9.19,2.80
130849,8.15,-2.26,5.67,2.73,-9.20,2.94
130899,8.28,-2.28,5.71,2.60,-9.25,2.96
130924,7.99,-2.37,5.84,2.66,-9.16,2.84
130974,8.07,-2.27,5.77,2.73,-9.28,2.90
130999,8.18,-2.32,5.46,2.72,-9.17,2.86
131050,8.13,-2.23,5.54,2.66,-9.16,2.51
131075,8.16,-2.28,5.71,2.71,-9.18,2.58
131099,8.15,-2.24,5.60,2.71,-9.28,3.12
131149,8.19,-2.28,5.70,2.67,-9.20,2.72
131174,8.31,-2.27,5.73,2.71,-9.18,2.63
131224,8.19,-2.34,5.81,2.57,-9.20,2.71
131249,8.05,-2.28,5.60,2.73,-9.18,2.76
131300,8.10,-2.23,5.75,2.57,-9.21,2.80
131324,8.06,-2.21,5.65,2.67,-9.23,2.44
131375,8.04,-2.31,5.69,2.68,-9.23,2.94
131399,8.22,-2.35,5.77,2.67,-9.27,2.69
131449,8.23,-2.25,5.83,2.61,-9.19,2.68
131474,8.18,-2.27,5.89,2.64,-9.20,2.70
131523,8.16,-2.21,5.90,2.72,-9.27,2.55
131550,8.32,-2.29,5.55,2.64,-9.20,2.74
131574,8.17,-2.18,5.60,2.65,-9.30,2.82
131624,8.10,-2.29,5.80,2.53,-9.25,2.52
131649,8.28,-2.32,5.58,2.59,-9.30,3.02
131699,8.11,-2.34,5.83,2.63,-9.14,2.86
131724,8.17,-2.26,5.67,2.64,-9.17,2.77
131775,8.15,-2.31,5.89,2.73,-9.21,2.93
131800,8.20,-2.24,5.76,2.83,-9.27,2.73
131850,8.14,-2.26,5.93,2.70,-9.09,3.14
131874,8.15,-2.31,5.60,2.56,-9.15,2.79
131923,8.11,-2.30,5.59,2.74,-9.22,2.43
131949,8.15,-2.33,5.73,2.67,-9.29,2.69
131974,8.06,-2.24,5.60,2.38,-9.16,2.90
132025,8.01,-2.27,5.83,2.66,-9.22,3.07
132049,8.08,-2.27,5.86,2.53,-9.24,2.62
132100,8.20,-2.23,5.92,2.64,-9.37,3.04
132124,8.22,-2.29,5.72,2.66,-9.22,2.97
132174,8.22,-2.28,5.92,2.77,-9.26,2.82
132199,8.18,-2.28,5.62,2.71,-9.27,2.56
132248,8.13,-2.34,5.72,2.79,-9.19,2.79
132275,8.18,-2.29,5.69,2.56,-9.27,2.78
132324,8.16,-2.28,5.82,2.84,-9.22,2.90
132349,8.13,-2.25,5.80,2.62,-9.29,2.76
132374,8.21,-2.27,5.60,2.53,-9.19,2.87
132424,8.14,-2.29,5.91,2.79,-9.28,3.26
132449,8.18,-2.33,5.77,2.61,-9.21,2.58
132499,8.11,-2.28,5.79,2.67,-9.20,2.94
132525,8.05,-2.19,5.68,2.71,-9.33,2.59
132575,8.19,-2.26,5.61,2.66,-9.26,2.83
132599,8.07,-2.31,5.84,2.55,-9.20,2.87
132648,8.21,-2.36,5.70,2.51,-9.22,2.88
132674,8.32,-2.24,5.79,2.74,-9.21,2.68
132723,8.04,-2.23,5.72,2.75,-9.29,2.92
132749,8.21,-2.27,5.63,2.71,-9.33,3.04
132774,8.30,-2.34,5.78,2.62,-9.12,2.82
132825,8.12,-2.30,6.06,2.73,-9.30,3.08
132849,8.07,-2.24,5.68,2.76,-9.28,2.89
132899,8.14,-2.28,5.61,2.70,-9.23,2.58
132924,8.18,-2.26,5.65,2.62,-9.25,2.76
132974,8.11,-2.29,5.91,2.64,-9.30,2.82
132999,8.04,-2.21,5.92,2.71,-9.33,2.81
133049,8.20,-2.31,6.00,2.66,-9.25,2.73
133074,8.24,-2.24,6.08,2.68,-9.35,2.77
133124,8.24,-2.27,5.53,2.61,-9.25,2.84
133149,8.14,-2.20,5.73,2.58,-9.18,2.77
133174,8.05,-2.23,5.44,2.70,-9.22,2.70
133224,8.32,-2.31,5.81,2.53,-9.25,2.79
133250,8.15,-2.32,5.77,2.78,-9.22,2.48
133300,8.20,-2.27,5.72,2.68,-9.29,3.18
133324,8.19,-2.23,5.50,2.73,-9.19,2.49
133374,8.03,-2.37,5.77,2.68,-9.19,3.03
133399,8.25,-2.17,5.66,2.59,-9.15,2.71
133448,8.14,-2.23,5.85,2.63,-9.26,2.90
133474,8.26,-2.22,5.56,2.66,-9.25,2.89
133524,8.08,-2.24,5.74,2.68,-9.19,2.90
133550,8.09,-2.32,5.96,2.51,-9.27,2.93
133574,8.08,-2.27,5.83,2.64,-9.24,2.85
133624,8.22,-2.33,5.77,2.54,-9.22,2.76
133649,8.15,-2.32,5.66,2.76,-9.18,2.67
133699,8.28,-2.29,5.85,2.63,-9.28,2.95
133724,7.99,-2.29,5.78,2.64,-9.23,2.60
133775,8.19,-2.26,5.70,2.67,-9.23,2.73
133799,8.26,-2.25,5.77,2.55,-9.31,3.05
133849,8.10,-2.22,5.52,2.64,-9.23,2.98
133874,8.01,-2.29,5.74,2.67,-9.23,2.73
133923,8.24,-2.25,5.85,2.61,-9.25,2.98
133949,8.07,-2.26,5.68,2.62,-9.27,2.99
133998,8.06,-2.30,5.71,2.74,-9.30,3.18
134025,8.16,-2.21,5.83,2.66,-9.27,2.97
134049,8.15,-2.25,5.70,2.76,-9.27,2.80
134099,8.21,-2.20,5.80,2.51,-9.20,2.88
134124,8.13,-2.26,6.07,2.68,-9.22,2.67
134174,7.99,-2.34,5.45,2.72,-9.24,2.80
134199,8.19,-2.16,6.02,2.60,-9.24,2.74
134248,8.12,-2.27,5.72,2.51,-9.31,2.83
134275,8.03,-2.27,5.88,2.71,-9.23,3.16
134324,8.27,-2.28,5.80,2.79,-9.23,2.69
134349,8.18,-2.34,5.61,2.71,-9.20,2.81
134398,8.16,-2.30,5.86,2.65,-9.19,2.70
134424,8.17,-2.25,5.74,2.57,-9.27,2.98
134449,8.07,-2.33,5.57,2.63,-9.20,3.03
134500,8.20,-2.27,5.79,2.78,-9.29,2.69
134524,8.14,-2.25,5.78,2.71,-9.15,2.58
134574,8.16,-2.27,5.53,2.79,-9.22,2.77
134599,8.13,-2.35,5.71,2.72,-9.24,2.92
134648,8.23,-2.26,5.69,2.56,-9.25,2.55
134674,8.19,-2.33,5.91,2.68,-9.30,2.84
134723,8.14,-2.19,5.73,2.77,-9.18,2.68
134750,8.16,-2.22,5.70,2.58,-9.23,3.02
134799,8.17,-2.31,5.85,2.62,-9.31,2.84
134824,8.25,-2.28,5.85,2.58,-9.26,2.99
134849,8.23,-2.34,5.75,2.78,-9.22,2.79
134899,8.12,-2.27,5.78,2.86,-9.20,2.92
134924,8.08,-2.24,5.61,2.71,-9.31,2.61
134973,8.12,-2.36,5.76,2.72,-9.23,2.58
135000,8.15,-2.33,5.89,2.75,-9.25,2.86
135049,8.16,-2.25,5.85,2.53,-9.26,2.85
135074,8.11,-2.28,5.46,2.87,-9.18,2.96
135123,8.13,-2.25,5.70,2.62,-9.20,2.53
135149,8.08,-2.24,5.75,2.62,-9.20,2.58
135198,8.22,-2.28,5.73,2.55,-9.27,2.71
135223,8.22,-2.18,5.93,2.88,-9.27,2.62
135249,8.18,-2.33,5.86,2.79,-9.21,2.77
135300,8.21,-2.21,5.56,2.70,-9.12,2.82
135324,8.05,-2.24,5.74,2.78,-9.26,2.86
135373,8.20,-2.26,5.73,2.50,-9.19,2.69
135399,8.26,-2.23,5.73,2.74,-9.29,2.80
135448,8.14,-2.20,5.72,2.64,-9.14,2.86
135474,8.11,-2.31,5.49,2.86,-9.28,2.65
135524,8.21,-2.25,5.70,2.68,-9.20,2.54
135549,8.11,-2.29,5.72,2.62,-9.22,2.87
135599,8.11,-2.30,5.71,2.72,-9.23,2.64
135624,8.14,-2.29,5.88,2.76,-9.29,2.99
135649,8.21,-2.25,5.68,2.69,-9.28,2.66
135699,8.25,-2.27,5.69,2.68,-9.28,2.87
135725,8.24,-2.29,5.74,2.73,-9.33,2.83
135774,8.08,-2.32,5.75,2.77,-9.19,2.70
135799,8.09,-2.24,5.72,2.61,-9.18,2.79
135848,8.17,-2.26,6.14,2.68,-9.31,2.87
135874,8.13,-2.28,5.68,2.58,-9.19,2.56
135923,8.22,-2.28,5.36,2.66,-9.21,2.81
135949,8.21,-2.22,5.78,2.65,-9.18,2.83
135999,8.11,-2.25,5.59,2.51,-9.29,2.68
136025,8.27,-2.27,5.56,2.67,-9.30,2.94
136049,8.20,-2.34,5.81,2.68,-9.23,2.79
136099,8.30,-2.32,5.77,2.58,-9.14,2.78
136124,8.19,-2.24,5.63,2.70,-9.20,2.77
136173,8.22,-2.28,5.81,2.76,-9.25,2.79
136199,8.11,-2.34,5.58,2.79,-9.36,2.87
136249,8.25,-2.29,5.55,2.65,-9.30,3.00
136274,8.17,-2.29,5.79,2.69,-9.22,2.75
136324,8.18,-2.35,5.76,2.65,-9.18,2.98
136349,8.15,-2.22,5.84,2.62,-9.24,2.82
136398,8.14,-2.23,5.81,2.66,-9.20,2.64
136424,8.10,-2.30,5.58,2.83,-9.19,2.59
136473,8.16,-2.19,5.72,2.68,-9.25,2.73
136499,8.15,-2.23,5.64,2.72,-9.34,2.65
136524,8.01,-2.22,5.70,2.63,-9.29,2.89
136573,8.15,-2.29,5.99,2.68,-9.27,2.82
136599,8.20,-2.29,5.51,2.70,-9.21,2.98
136648,8.06,-2.27,5.81,2.62,-9.17,2.77
136674,8.11,-2.22,5.69,2.60,-9.18,2.87
136723,8.12,-2.25,5.93,2.50,-9.16,2.79
136750,8.18,-2.29,5.70,2.67,-9.18,2.79
136799,8.09,-2.27,5.92,2.66,-9.29,2.72
136824,8.17,-2.29,5.82,2.64,-9.22,2.79
136873,8.09,-2.23,5.82,2.68,-9.16,2.76
136898,8.21,-2.17,5.85,2.71,-9.28,2.97
136924,8.18,-2.35,5.75,2.60,-9.25,2.67
136973,8.09,-2.19,5.95,2.79,-9.25,2.53
136999,8.16,-2.30,5.93,2.73,-9.24,2.86
137049,8.03,-2.30,5.92,2.59,-9.16,2.99
137074,8.23,-2.37,5.76,2.56,-9.30,2.96
137123,8.12,-2.23,5.69,2.69,-9.29,3.20
137149,8.20,-2.26,5.95,2.61,-9.24,2.81
137198,8.14,-2.25,5.68,2.75,-9.19,2.60
137225,8.18,-2.28,5.82,2.78,-9.26,2.94
137274,8.05,-2.20,5.78,2.69,-9.15,2.95
137299,8.08,-2.24,5.54,2.69,-9.20,2.60
137324,8.15,-2.19,5.66,2.76,-9.27,3.16
137373,8.12,-2.28,5.66,2.53,-9.23,3.02
137399,8.13,-2.27,5.79,2.74,-9.18,2.46
137448,8.01,-2.27,5.61,2.73,-9.11,2.89
137475,8.19,-2.30,5.96,2.54,-9.15,2.77
137524,8.14,-2.25,5.64,2.86,-9.31,2.84
137549,8.25,-2.31,5.72,2.71,-9.26,2.59
137598,8.23,-2.29,5.98,2.74,-9.19,2.76
137624,8.17,-2.28,5.60,2.67,-9.24,2.86
137674,8.18,-2.20,5.75,2.58,-9.24,2.70
137698,8.22,-2.23,5.73,2.52,-9.27,2.63
137724,8.18,-2.29,5.78,2.73,-9.29,2.80
137774,8.30,-2.23,5.75,2.70,-9.32,2.60
137799,8.15,-2.33,5.72,2.66,-9.25,2.84
137848,8.12,-2.36,5.68,2.56,-9.25,2.74
137874,8.09,-2.28,5.41,2.67,-9.30,2.81
137923,8.14,-2.22,5.71,2.74,-9.27,2.74
137949,8.06,-2.20,5.77,2.69,-9.27,2.66
137999,8.09,-2.26,5.75,2.71,-9.23,2.86
138024,8.15,-2.35,5.71,2.68,-9.27,2.59
138075,8.21,-2.28,5.63,2.77,-9.16,2.53
138098,8.05,-2.22,5.81,2.65,-9.21,2.61
138124,8.18,-2.23,5.81,2.63,-9.23,3.12
138173,8.09,-2.32,5.61,2.63,-9.27,2.89
138200,8.07,-2.29,6.25,2.66,-9.23,2.69
138249,8.06,-2.25,5.60,2.61,-9.32,2.79
138274,8.20,-2.31,5.72,2.67,-9.20,2.66
138323,8.04,-2.26,5.54,2.66,-9.28,2.82
138349,8.14,-2.29,5.71,2.78,-9.26,2.39
138399,8.05,-2.28,5.79,2.51,-9.19,2.47
138424,8.08,-2.30,5.98,2.69,-9.24,3.09
138475,8.17,-2.24,5.71,2.58,-9.25,2.80
138499,8.11,-2.22,5.81,2.65,-9.21,2.45
138524,8.25,-2.28,5.53,2.76,-9.22,2.75
138573,8.01,-2.26,5.78,2.67,-9.27,2.80
138599,8.12,-2.26,6.04,2.62,-9.32,3.12
138648,8.19,-2.21,5.93,2.64,-9.25,2.71
138674,8.07,-2.29,5.79,2.68,-9.27,2.75
138724,8.09,-2.26,5.76,2.62,-9.21,2.61
138749,8.05,-2.26,5.82,2.62,-9.29,2.99
138800,8.20,-2.22,6.02,2.66,-9.30,2.52
138824,8.14,-2.32,5.51,2.60,-9.29,2.92
138874,8.15,-2.28,5.59,2.60,-9.25,2.79
138898,8.25,-2.26,5.88,2.60,-9.27,2.84
138949,8.22,-2.25,5.98,2.46,-9.17,2.79
138974,8.06,-2.24,5.81,2.66,-9.23,2.63
138999,8.17,-2.24,5.63,2.52,-9.20,2.96
139049,8.19,-2.26,5.86,2.58,-9.20,2.58
139074,8.25,-2.34,5.71,2.51,-9.28,2.79
139124,8.27,-2.27,5.81,2.66,-9.19,2.69
139149,7.97,-2.22,5.68,2.55,-9.24,3.02
139199,8.20,-2.28,5.93,2.58,-9.16,2.56
139224,8.22,-2.37,5.78,2.67,-9.23,2.93
139275,8.11,-2.27,5.66,2.62,-9.16,2.84
139299,8.11,-2.22,5.60,2.56,-9.18,3.22
139350,8.03,-2.28,5.65,2.70,-9.33,2.77
139373,8.19,-2.31,5.90,2.61,-9.21,2.76
139399,8.23,-2.34,5.78,2.72,-9.30,2.79
139449,8.13,-2.36,5.80,2.68,-9.22,2.89
139474,8.14,-2.30,5.60,2.71,-9.31,3.00
139525,8.20,-2.24,5.81,2.77,-9.22,2.63
139549,7.98,-2.22,5.44,2.56,-9.16,2.65
139599,8.06,-2.17,5.50,2.61,-9.32,2.88
139623,8.09,-2.27,5.86,2.70,-9.31,3.15
139674,8.29,-2.28,5.90,2.75,-9.23,2.84
139699,8.12,-2.37,5.53,2.72,-9.20,2.88
139750,8.36,-2.31,5.56,2.62,-9.16,3.04
139774,8.17,-2.28,5.92,2.68,-9.30,2.89
139799,8.14,-2.28,5.91,2.62,-9.25,2.96
139849,8.14,-2.26,5.64,2.78,-9.23,2.79
139874,8.13,-2.31,5.75,2.65,-9.23,2.79
139924,8.10,-2.28,5.72,2.58,-9.26,2.41
139950,8.09,-2.22,5.31,2.55,-9.29,2.89
140000,8.14,-2.30,5.82,2.59,-9.23,2.59
140023,8.14,-2.32,5.65,2.62,-9.15,2.65
140075,8.23,-2.32,5.85,2.61,-9.11,2.49
140099,8.10,-2.24,5.59,2.80,-9.22,2.95
140149,8.11,-2.25,5.69,2.62,-9.19,2.82
140174,8.15,-2.31,5.75,2.76,-9.28,2.56
140199,8.07,-2.28,5.67,2.81,-9.19,2.93
140250,8.08,-2.24,5.89,2.65,-9.20,2.99
140274,8.08,-2.30,5.67,2.77,-9.17,2.72
140324,8.12,-2.21,5.93,2.68,-9.27,2.72
140349,8.20,-2.26,5.82,2.61,-9.23,2.57
140399,8.22,-2.28,5.85,2.69,-9.33,2.76
140423,8.18,-2.26,5.91,2.67,-9.26,2.95
140475,8.18,-2.27,6.06,2.81,-9.20,2.83
140499,8.18,-2.24,5.70,2.75,-9.18,3.27
140550,8.24,-2.24,5.56,2.74,-9.36,2.67
140574,8.13,-2.21,5.75,2.69,-9.22,2.62
140599,8.19,-2.28,5.87,2.66,-9.22,2.43
140649,8.06,-2.25,5.49,2.79,-9.19,2.90
